"Section","Category","Title","OfficialUrl","LocalPath","Format","Status","SourceBatch","Notes"
"行业重要法规与准则","企业会计准则","企业会计准则第3号——投资性房地产","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46214.htm","raw/standards/accounting/standards-pages/企业会计准则第3号-投资性房地产.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第40号——合营安排","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602633.htm","raw/standards/accounting/standards-pages/企业会计准则第40号-合营安排.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第41号——在其他主体中权益的披露","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201512/t20151208_1602637.htm","raw/standards/accounting/standards-pages/企业会计准则第41号-在其他主体中权益的披露.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第42号——持有待售的非流动资产、处置组和终止经营","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201709/t20170907_2694145.htm","raw/standards/accounting/standards-pages/企业会计准则第42号-持有待售的非流动资产-处置组和终止经营.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第4号——固定资产","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46213.htm","raw/standards/accounting/standards-pages/企业会计准则第4号-固定资产.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第5号——生物资产","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46212.htm","raw/standards/accounting/standards-pages/企业会计准则第5号-生物资产.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第6号——无形资产","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46242.htm","raw/standards/accounting/standards-pages/企业会计准则第6号-无形资产.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第7号——非货币性资产交换","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/201909/t20190911_3384679.htm","raw/standards/accounting/standards-pages/企业会计准则第7号-非货币性资产交换.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第8号——资产减值","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46240.htm","raw/standards/accounting/standards-pages/企业会计准则第8号-资产减值.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则","企业会计准则第9号——职工薪酬","https://kjs.mof.gov.cn/zt/kjzzss/kuaijizhunzeshishi/200806/t20080618_46239.htm","raw/standards/accounting/standards-pages/企业会计准则第9号-职工薪酬.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
